Ensembl	pval	protein
ENSP00000364265	9.91641492960303e-6	9606.ENSP00000364265
ENSP00000494468	1.03850017329064e-5	9606.ENSP00000494468
ENSP00000300589	1.14308942380833e-5	9606.ENSP00000300589
ENSP00000354280	1.17269827768587e-5	9606.ENSP00000354280
ENSP00000228928	1.20480495645511e-5	9606.ENSP00000228928
ENSP00000264399	1.26206115401944e-5	9606.ENSP00000264399
ENSP00000308606	1.27361758332731e-5	9606.ENSP00000308606
ENSP00000222032	1.36610698500337e-5	9606.ENSP00000222032
ENSP00000259056	1.3815427725977e-5	9606.ENSP00000259056
ENSP00000290573	1.4139217617258e-5	9606.ENSP00000290573
ENSP00000377003	1.4240494444517e-5	9606.ENSP00000377003
ENSP00000351075	1.64231118584213e-5	9606.ENSP00000351075
ENSP00000264734	1.69161489372731e-5	9606.ENSP00000264734
ENSP00000326737	1.73882237273171e-5	9606.ENSP00000326737
ENSP00000415743	1.91078976729929e-5	9606.ENSP00000415743
ENSP00000498469	1.93546233237225e-5	9606.ENSP00000498469
ENSP00000298119	1.98064232150501e-5	9606.ENSP00000298119
ENSP00000478305	2.0673175098131e-5	9606.ENSP00000478305
ENSP00000333441	2.21043777962641e-5	9606.ENSP00000333441
ENSP00000379110	2.28366386301068e-5	9606.ENSP00000379110
ENSP00000274547	2.43217672985593e-5	9606.ENSP00000274547
ENSP00000284240	2.44807581596679e-5	9606.ENSP00000284240
ENSP00000327459	2.46541903893335e-5	9606.ENSP00000327459
ENSP00000370568	2.56868074868604e-5	9606.ENSP00000370568
ENSP00000378485	2.57752765372831e-5	9606.ENSP00000378485
ENSP00000357737	2.60570739034615e-5	9606.ENSP00000357737
ENSP00000348043	2.60791361606723e-5	9606.ENSP00000348043
ENSP00000369293	2.61575631472601e-5	9606.ENSP00000369293
ENSP00000469391	2.63016248541037e-5	9606.ENSP00000469391
ENSP00000369419	2.65922487993213e-5	9606.ENSP00000369419
ENSP00000320295	2.73082761401802e-5	9606.ENSP00000320295
ENSP00000323588	2.77723121480506e-5	9606.ENSP00000323588
ENSP00000306884	2.9111403372691e-5	9606.ENSP00000306884
ENSP00000441410	2.94843407755731e-5	9606.ENSP00000441410
ENSP00000380697	3.25162242249608e-5	9606.ENSP00000380697
ENSP00000437082	3.39867724178952e-5	9606.ENSP00000437082
ENSP00000259030	3.42171469132634e-5	9606.ENSP00000259030
ENSP00000309161	3.44404952079323e-5	9606.ENSP00000309161
ENSP00000359339	3.51510089207383e-5	9606.ENSP00000359339
ENSP00000497931	3.64103145331678e-5	9606.ENSP00000497931
ENSP00000316329	3.7211161955128e-5	9606.ENSP00000316329
ENSP00000442424	3.79837642287996e-5	9606.ENSP00000442424
ENSP00000274276	3.98769204204112e-5	9606.ENSP00000274276
ENSP00000329932	4.14891246119146e-5	9606.ENSP00000329932
ENSP00000366249	4.18294105427955e-5	9606.ENSP00000366249
ENSP00000377789	4.21077875540962e-5	9606.ENSP00000377789
ENSP00000308452	4.23725812416571e-5	9606.ENSP00000308452
ENSP00000416741	4.24363029937877e-5	9606.ENSP00000416741
ENSP00000342560	4.33711352685145e-5	9606.ENSP00000342560
ENSP00000332413	4.43828091803985e-5	9606.ENSP00000332413
ENSP00000357106	4.56775116077688e-5	9606.ENSP00000357106
ENSP00000337949	4.70619476531699e-5	9606.ENSP00000337949
ENSP00000244728	4.70833548319799e-5	9606.ENSP00000244728
ENSP00000273395	4.75776650332556e-5	9606.ENSP00000273395
ENSP00000317997	4.94405938801642e-5	9606.ENSP00000317997
ENSP00000361850	4.96609507997374e-5	9606.ENSP00000361850
ENSP00000321026	4.9920856951945e-5	9606.ENSP00000321026
ENSP00000342109	4.99626568456505e-5	9606.ENSP00000342109
ENSP00000241337	5.04091946759027e-5	9606.ENSP00000241337
ENSP00000357753	5.08233606432334e-5	9606.ENSP00000357753
ENSP00000377546	5.30978713358237e-5	9606.ENSP00000377546
ENSP00000494175	5.6275626322972e-5	9606.ENSP00000494175
ENSP00000348639	5.72782843893232e-5	9606.ENSP00000348639
ENSP00000233710	5.79767705715107e-5	9606.ENSP00000233710
ENSP00000283916	5.84207202622779e-5	9606.ENSP00000283916
ENSP00000484928	5.85481025810519e-5	9606.ENSP00000484928
ENSP00000311010	6.37493036195581e-5	9606.ENSP00000311010
ENSP00000355467	6.38668690100983e-5	9606.ENSP00000355467
ENSP00000368824	6.50788506797761e-5	9606.ENSP00000368824
ENSP00000352673	6.67909772075437e-5	9606.ENSP00000352673
ENSP00000364018	6.82662509551675e-5	9606.ENSP00000364018
ENSP00000418767	6.96136613456046e-5	9606.ENSP00000418767
ENSP00000496832	7.14692148551287e-5	9606.ENSP00000496832
ENSP00000469958	7.15187294905042e-5	9606.ENSP00000469958
ENSP00000362108	7.24564318661491e-5	9606.ENSP00000362108
ENSP00000296233	7.29906367824358e-5	9606.ENSP00000296233
ENSP00000353720	7.31260468126785e-5	9606.ENSP00000353720
ENSP00000424571	7.47292563121271e-5	9606.ENSP00000424571
ENSP00000353864	7.54633161177799e-5	9606.ENSP00000353864
ENSP00000361087	8.19660977000443e-5	9606.ENSP00000361087
ENSP00000305077	8.55689256917962e-5	9606.ENSP00000305077
ENSP00000354733	8.85443536360228e-5	9606.ENSP00000354733
ENSP00000324651	8.88263656332692e-5	9606.ENSP00000324651
ENSP00000197268	9.55536401209546e-5	9606.ENSP00000197268
ENSP00000382330	1.00345542645238e-4	9606.ENSP00000382330
ENSP00000394770	1.01984332604266e-4	9606.ENSP00000394770
ENSP00000387498	1.02953454912725e-4	9606.ENSP00000387498
ENSP00000435835	1.12680816581562e-4	9606.ENSP00000435835
ENSP00000264444	1.13595387731536e-4	9606.ENSP00000264444
ENSP00000356224	1.15934491962003e-4	9606.ENSP00000356224
ENSP00000498684	1.16402361248857e-4	9606.ENSP00000498684
ENSP00000330032	1.16655703492552e-4	9606.ENSP00000330032
ENSP00000342235	1.20344704483049e-4	9606.ENSP00000342235
ENSP00000227507	1.24885344418416e-4	9606.ENSP00000227507
ENSP00000493161	1.28538895471185e-4	9606.ENSP00000493161
ENSP00000384081	1.35419732464621e-4	9606.ENSP00000384081
ENSP00000363270	1.39696786440551e-4	9606.ENSP00000363270
ENSP00000219235	1.43415735673812e-4	9606.ENSP00000219235
ENSP00000262428	1.47034627687981e-4	9606.ENSP00000262428
ENSP00000371471	1.47144380334604e-4	9606.ENSP00000371471
ENSP00000256442	1.47169398939879e-4	9606.ENSP00000256442
ENSP00000306606	1.5061326061079e-4	9606.ENSP00000306606
ENSP00000432511	1.5178365514519e-4	9606.ENSP00000432511
ENSP00000428876	1.55160018251409e-4	9606.ENSP00000428876
ENSP00000335042	1.6165248845718e-4	9606.ENSP00000335042
ENSP00000219244	1.69091251876698e-4	9606.ENSP00000219244
ENSP00000370867	1.6973588824802e-4	9606.ENSP00000370867
ENSP00000454623	1.74647626039995e-4	9606.ENSP00000454623
ENSP00000379097	1.76915010918341e-4	9606.ENSP00000379097
ENSP00000472308	1.77508004996431e-4	9606.ENSP00000472308
ENSP00000446280	1.81633279532066e-4	9606.ENSP00000446280
ENSP00000354006	1.85333119278509e-4	9606.ENSP00000354006
ENSP00000310110	1.8552277906772e-4	9606.ENSP00000310110
ENSP00000386280	1.85640999903161e-4	9606.ENSP00000386280
ENSP00000306512	1.92068860341861e-4	9606.ENSP00000306512
ENSP00000354822	1.96438522645845e-4	9606.ENSP00000354822
ENSP00000359607	1.98138234963991e-4	9606.ENSP00000359607
ENSP00000494678	1.98358106956544e-4	9606.ENSP00000494678
ENSP00000295683	2.01558672317598e-4	9606.ENSP00000295683
ENSP00000320563	2.08094171786302e-4	9606.ENSP00000320563
ENSP00000383923	2.14140954656258e-4	9606.ENSP00000383923
ENSP00000230990	2.17311672993287e-4	9606.ENSP00000230990
ENSP00000306490	2.25576873207881e-4	9606.ENSP00000306490
ENSP00000308461	2.5292240026792e-4	9606.ENSP00000308461
ENSP00000384262	2.53334470430476e-4	9606.ENSP00000384262
ENSP00000264012	2.70444889062754e-4	9606.ENSP00000264012
ENSP00000275016	2.70786251605491e-4	9606.ENSP00000275016
ENSP00000479955	2.74716412606164e-4	9606.ENSP00000479955
ENSP00000280614	2.75400590873506e-4	9606.ENSP00000280614
ENSP00000264170	2.81615733519875e-4	9606.ENSP00000264170
ENSP00000281030	2.83525773325278e-4	9606.ENSP00000281030
ENSP00000359787	2.86245266196284e-4	9606.ENSP00000359787
ENSP00000379866	2.99788518915962e-4	9606.ENSP00000379866
ENSP00000266503	3.0396429283246e-4	9606.ENSP00000266503
ENSP00000304915	3.23686320992225e-4	9606.ENSP00000304915
ENSP00000378359	3.29183638807649e-4	9606.ENSP00000378359
ENSP00000202625	3.29542448347502e-4	9606.ENSP00000202625
ENSP00000282701	3.31947332023264e-4	9606.ENSP00000282701
ENSP00000308815	3.37390427827344e-4	9606.ENSP00000308815
ENSP00000356065	3.38036543825415e-4	9606.ENSP00000356065
ENSP00000282466	3.39526492356228e-4	9606.ENSP00000282466
ENSP00000387334	3.53037943510024e-4	9606.ENSP00000387334
ENSP00000333300	3.54271500013308e-4	9606.ENSP00000333300
ENSP00000353582	3.60490947661045e-4	9606.ENSP00000353582
ENSP00000308219	3.75493409797357e-4	9606.ENSP00000308219
ENSP00000272224	3.7841622638519e-4	9606.ENSP00000272224
ENSP00000407039	3.8195911152056e-4	9606.ENSP00000407039
ENSP00000339328	3.87025032895956e-4	9606.ENSP00000339328
ENSP00000262776	3.94979261922265e-4	9606.ENSP00000262776
ENSP00000229002	3.97529580991779e-4	9606.ENSP00000229002
ENSP00000265441	4.03114997666835e-4	9606.ENSP00000265441
ENSP00000469142	4.03604171089278e-4	9606.ENSP00000469142
ENSP00000412237	4.15172792638933e-4	9606.ENSP00000412237
ENSP00000498702	4.16603815813617e-4	9606.ENSP00000498702
ENSP00000468153	4.21617671920429e-4	9606.ENSP00000468153
ENSP00000380247	4.38819681853994e-4	9606.ENSP00000380247
ENSP00000206765	4.48897108264274e-4	9606.ENSP00000206765
ENSP00000366387	4.58550308887743e-4	9606.ENSP00000366387
ENSP00000369853	4.63154852677878e-4	9606.ENSP00000369853
ENSP00000384725	4.63719557186425e-4	9606.ENSP00000384725
ENSP00000427684	4.63768133775045e-4	9606.ENSP00000427684
ENSP00000413592	4.68757521119936e-4	9606.ENSP00000413592
ENSP00000479536	4.70823132491429e-4	9606.ENSP00000479536
ENSP00000264346	4.70867479143355e-4	9606.ENSP00000264346
ENSP00000371388	4.86556221221093e-4	9606.ENSP00000371388
ENSP00000218758	4.92381014049746e-4	9606.ENSP00000218758
ENSP00000274963	4.96874942397413e-4	9606.ENSP00000274963
ENSP00000416033	5.029802974679e-4	9606.ENSP00000416033
ENSP00000356102	5.09152685317753e-4	9606.ENSP00000356102
ENSP00000402460	5.10468405968824e-4	9606.ENSP00000402460
ENSP00000355361	5.30501578394851e-4	9606.ENSP00000355361
ENSP00000336693	5.30813534298031e-4	9606.ENSP00000336693
ENSP00000306754	5.35690020767505e-4	9606.ENSP00000306754
ENSP00000360299	5.44521738400666e-4	9606.ENSP00000360299
ENSP00000285379	5.59366099784104e-4	9606.ENSP00000285379
ENSP00000360905	5.59838863427671e-4	9606.ENSP00000360905
ENSP00000378488	5.94679097716165e-4	9606.ENSP00000378488
ENSP00000258969	6.38319242049731e-4	9606.ENSP00000258969
ENSP00000384763	6.39561721713146e-4	9606.ENSP00000384763
ENSP00000354314	6.43384903796327e-4	9606.ENSP00000354314
ENSP00000319846	6.50856684113827e-4	9606.ENSP00000319846
ENSP00000376123	6.58009592219631e-4	9606.ENSP00000376123
ENSP00000321106	6.62292826394962e-4	9606.ENSP00000321106
ENSP00000317674	6.64504212143664e-4	9606.ENSP00000317674
ENSP00000301921	6.68508494968995e-4	9606.ENSP00000301921
ENSP00000344260	6.99689469053245e-4	9606.ENSP00000344260
ENSP00000215885	7.2590126388384e-4	9606.ENSP00000215885
ENSP00000340989	7.28658467814693e-4	9606.ENSP00000340989
ENSP00000496416	7.36826532969013e-4	9606.ENSP00000496416
ENSP00000357022	7.37177426587184e-4	9606.ENSP00000357022
ENSP00000348931	7.47558400107357e-4	9606.ENSP00000348931
ENSP00000364700	7.69757814388091e-4	9606.ENSP00000364700
ENSP00000379838	7.72516127881529e-4	9606.ENSP00000379838
ENSP00000357150	7.734588891222e-4	9606.ENSP00000357150
ENSP00000371790	7.82881635131841e-4	9606.ENSP00000371790
ENSP00000263372	8.22136402587778e-4	9606.ENSP00000263372
ENSP00000216341	8.25773238773562e-4	9606.ENSP00000216341
ENSP00000382804	8.3418394463911e-4	9606.ENSP00000382804
ENSP00000298048	8.39410476557255e-4	9606.ENSP00000298048
ENSP00000427555	8.46428145825218e-4	9606.ENSP00000427555
ENSP00000260126	8.78876266496178e-4	9606.ENSP00000260126
ENSP00000285670	8.85057585985229e-4	9606.ENSP00000285670
ENSP00000312811	8.90950139814647e-4	9606.ENSP00000312811
ENSP00000350815	9.04039283749832e-4	9606.ENSP00000350815
ENSP00000244221	9.04192859116894e-4	9606.ENSP00000244221
ENSP00000260010	9.31959961012479e-4	9606.ENSP00000260010
ENSP00000303042	9.67294559532939e-4	9606.ENSP00000303042
ENSP00000478699	9.73034357006818e-4	9606.ENSP00000478699
ENSP00000354080	9.82329487924868e-4	9606.ENSP00000354080
ENSP00000382708	9.83659852758845e-4	9606.ENSP00000382708
ENSP00000385936	9.86263494670726e-4	9606.ENSP00000385936
ENSP00000370074	0.00108447399593192	9606.ENSP00000370074
ENSP00000304676	0.00109945744755268	9606.ENSP00000304676
ENSP00000398273	0.00110612847174933	9606.ENSP00000398273
ENSP00000278742	0.00110812192646287	9606.ENSP00000278742
ENSP00000317027	0.00114206167695038	9606.ENSP00000317027
ENSP00000385695	0.00115146340890633	9606.ENSP00000385695
ENSP00000297258	0.00117889680648101	9606.ENSP00000297258
ENSP00000445175	0.00118879505582663	9606.ENSP00000445175
ENSP00000366506	0.00119051638590931	9606.ENSP00000366506
ENSP00000319141	0.0011995048594695	9606.ENSP00000319141
ENSP00000494009	0.00120450288711999	9606.ENSP00000494009
ENSP00000398832	0.00121306377437567	9606.ENSP00000398832
ENSP00000482954	0.0012284039060784	9606.ENSP00000482954
ENSP00000356058	0.00123946974409789	9606.ENSP00000356058
ENSP00000462521	0.00126360762607874	9606.ENSP00000462521
ENSP00000334851	0.00126855791686298	9606.ENSP00000334851
ENSP00000233813	0.00131913231256148	9606.ENSP00000233813
ENSP00000341942	0.00132023952112326	9606.ENSP00000341942
ENSP00000345494	0.00132118221780688	9606.ENSP00000345494
ENSP00000417401	0.00132908053473151	9606.ENSP00000417401
ENSP00000363641	0.00133019147969315	9606.ENSP00000363641
ENSP00000263125	0.00133073578819108	9606.ENSP00000263125
ENSP00000324343	0.00138760501011601	9606.ENSP00000324343
ENSP00000293761	0.00139897101279902	9606.ENSP00000293761
ENSP00000351807	0.00143325690244036	9606.ENSP00000351807
ENSP00000331470	0.00146218797179989	9606.ENSP00000331470
ENSP00000334128	0.00146511047670663	9606.ENSP00000334128
ENSP00000314976	0.00147187350475425	9606.ENSP00000314976
