ids	values
9606.ENSP00000314544	6.0674152e-05
9606.ENSP00000236925	6.173799e-05
9606.ENSP00000498587	6.179186e-05
9606.ENSP00000418081	6.661835e-05
9606.ENSP00000308149	6.943528e-05
9606.ENSP00000413218	7.436106e-05
9606.ENSP00000480313	7.641069e-05
9606.ENSP00000301917	7.769065e-05
9606.ENSP00000365625	7.9749996e-05
9606.ENSP00000455585	8.377866e-05
9606.ENSP00000364249	8.714756e-05
9606.ENSP00000363591	8.959922e-05
9606.ENSP00000264639	9.109814e-05
9606.ENSP00000266022	9.887645e-05
9606.ENSP00000332973	0.00010205768
9606.ENSP00000497271	0.00010471202
9606.ENSP00000379934	0.00010689876
9606.ENSP00000365569	0.00011215727
9606.ENSP00000268459	0.00012171438
9606.ENSP00000251303	0.0001249708
9606.ENSP00000497112	0.00013064414
9606.ENSP00000332887	0.00013251927
9606.ENSP00000431885	0.0001345337
9606.ENSP00000365884	0.0001358758
9606.ENSP00000345984	0.00013783568
9606.ENSP00000397073	0.00014296031
9606.ENSP00000269582	0.00014890569
9606.ENSP00000219150	0.00014920718
9606.ENSP00000266068	0.0001518121
9606.ENSP00000496625	0.00015627593
9606.ENSP00000370078	0.00015710868
9606.ENSP00000296142	0.00016493828
9606.ENSP00000477706	0.000169122
9606.ENSP00000300651	0.00016983213
9606.ENSP00000427552	0.00017905365
9606.ENSP00000431871	0.00018110951
9606.ENSP00000225474	0.00019875937
9606.ENSP00000480535	0.000209771
9606.ENSP00000364782	0.00021028622
9606.ENSP00000380120	0.00022399264
9606.ENSP00000294811	0.00022549306
9606.ENSP00000491657	0.00022904911
9606.ENSP00000281924	0.00023448354
9606.ENSP00000497915	0.00025497747
9606.ENSP00000332287	0.00025914653
9606.ENSP00000349252	0.00026930732
9606.ENSP00000229134	0.00027360697
9606.ENSP00000316491	0.00028671452
9606.ENSP00000363435	0.0002925774
9606.ENSP00000359526	0.00029349222
9606.ENSP00000341208	0.0003050676
9606.ENSP00000360065	0.00030995006
9606.ENSP00000341082	0.00032941962
9606.ENSP00000253754	0.00033644764
9606.ENSP00000323967	0.00034298853
9606.ENSP00000360034	0.00034733934
9606.ENSP00000340220	0.00036390394
9606.ENSP00000397178	0.0003694495
9606.ENSP00000344241	0.00038080654
9606.ENSP00000419005	0.0003821421
9606.ENSP00000414095	0.00038392877
9606.ENSP00000363836	0.00039116543
9606.ENSP00000464030	0.00039704237
9606.ENSP00000239316	0.00042932687
9606.ENSP00000378235	0.0004293524
9606.ENSP00000312624	0.0004337022
9606.ENSP00000357812	0.00044047608
9606.ENSP00000343054	0.00044984627
9606.ENSP00000370989	0.0004542292
9606.ENSP00000366354	0.0004620321
9606.ENSP00000332371	0.00048086676
9606.ENSP00000324890	0.0004820546
9606.ENSP00000394842	0.00048336436
9606.ENSP00000351497	0.00048353328
9606.ENSP00000386502	0.00049287395
9606.ENSP00000265388	0.0004961712
9606.ENSP00000355988	0.0005026726
9606.ENSP00000443216	0.00050297356
9606.ENSP00000366249	0.00051642786
9606.ENSP00000368318	0.0005168166
9606.ENSP00000455099	0.0005523073
9606.ENSP00000365081	0.00055979105
9606.ENSP00000383611	0.00057036936
9606.ENSP00000401112	0.0005766195
9606.ENSP00000445688	0.0005854308
9606.ENSP00000377616	0.00058559753
9606.ENSP00000226730	0.0005885197
9606.ENSP00000216144	0.0005948638
9606.ENSP00000359520	0.00059615547
9606.ENSP00000375795	0.00063327554
9606.ENSP00000349541	0.0006362042
9606.ENSP00000358932	0.000637387
9606.ENSP00000384651	0.000651803
9606.ENSP00000392398	0.0006553506
9606.ENSP00000342676	0.0006707191
9606.ENSP00000385055	0.00067842886
9606.ENSP00000315659	0.0006981144
9606.ENSP00000265372	0.00070423767
9606.ENSP00000378536	0.0007092936
9606.ENSP00000390076	0.0007121487
9606.ENSP00000368062	0.00072477397
9606.ENSP00000380877	0.00072968355
9606.ENSP00000238936	0.00075342867
9606.ENSP00000278836	0.00075944356
9606.ENSP00000346733	0.0007728263
9606.ENSP00000366465	0.0007752464
9606.ENSP00000368166	0.0007757134
9606.ENSP00000381577	0.00078408624
9606.ENSP00000278829	0.00079829386
9606.ENSP00000392828	0.00081247685
9606.ENSP00000289788	0.00082762697
9606.ENSP00000359000	0.0008309539
9606.ENSP00000357804	0.0008506724
9606.ENSP00000445001	0.0008663402
9606.ENSP00000311857	0.0008758692
9606.ENSP00000417185	0.0008771036
9606.ENSP00000332340	0.0008788705
