protein	pval
9606.ENSP00000490925	3.675377e-05
9606.ENSP00000403681	3.7407e-05
9606.ENSP00000242480	3.797499e-05
9606.ENSP00000344820	3.8237416e-05
9606.ENSP00000264501	4.2055915e-05
9606.ENSP00000259205	4.323389e-05
9606.ENSP00000398698	4.401477e-05
9606.ENSP00000358783	4.4341e-05
9606.ENSP00000364163	4.562346e-05
9606.ENSP00000310149	4.5937333e-05
9606.ENSP00000264377	4.8327718e-05
9606.ENSP00000358098	4.8545855e-05
9606.ENSP00000461930	5.1016665e-05
9606.ENSP00000355995	5.1150317e-05
9606.ENSP00000379078	5.162848e-05
9606.ENSP00000334145	5.191558e-05
9606.ENSP00000406026	5.9103648e-05
9606.ENSP00000278937	5.968898e-05
9606.ENSP00000427421	6.0363895e-05
9606.ENSP00000245414	6.358287e-05
9606.ENSP00000368824	6.507885e-05
9606.ENSP00000354652	6.554929e-05
9606.ENSP00000431418	6.633678e-05
9606.ENSP00000407685	6.726969e-05
9606.ENSP00000364018	6.826625e-05
9606.ENSP00000364449	6.9004345e-05
9606.ENSP00000379111	7.009472e-05
9606.ENSP00000353864	7.5463315e-05
9606.ENSP00000302194	7.5998025e-05
9606.ENSP00000384126	7.9411584e-05
9606.ENSP00000358932	8.017766e-05
9606.ENSP00000231751	8.220621e-05
9606.ENSP00000379566	8.828703e-05
9606.ENSP00000211413	8.988103e-05
9606.ENSP00000259211	9.193617e-05
9606.ENSP00000256722	9.5426556e-05
9606.ENSP00000236850	9.688808e-05
9606.ENSP00000300134	9.92658e-05
9606.ENSP00000226730	9.96119e-05
9606.ENSP00000303366	0.000100439036
9606.ENSP00000364298	0.00010117806
9606.ENSP00000388001	0.00010159721
9606.ENSP00000469417	0.0001026432
9606.ENSP00000274547	0.00010711353
9606.ENSP00000245960	0.000107481
9606.ENSP00000357707	0.000109430344
9606.ENSP00000265381	0.00011087588
9606.ENSP00000264661	0.000114547714
9606.ENSP00000254667	0.000115056384
9606.ENSP00000239223	0.00011529961
9606.ENSP00000276420	0.00011592924
9606.ENSP00000498684	0.00011640236
9606.ENSP00000371798	0.000118287695
9606.ENSP00000367972	0.00012129907
9606.ENSP00000484644	0.00012279477
9606.ENSP00000230036	0.00012294082
9606.ENSP00000295297	0.00012542626
9606.ENSP00000358865	0.00012545586
9606.ENSP00000485448	0.00012650377
9606.ENSP00000493161	0.0001285389
9606.ENSP00000216392	0.00012895506
9606.ENSP00000364349	0.00013060245
9606.ENSP00000350359	0.00013078227
9606.ENSP00000369318	0.00013362338
9606.ENSP00000347754	0.00013369012
9606.ENSP00000478257	0.00013851354
9606.ENSP00000206423	0.0001418485
9606.ENSP00000360475	0.00014207745
9606.ENSP00000403495	0.00014647383
9606.ENSP00000365272	0.00014707608
9606.ENSP00000360247	0.00014759616
9606.ENSP00000360918	0.00015885962
9606.ENSP00000396688	0.00015966214
9606.ENSP00000358105	0.0001713797
9606.ENSP00000265340	0.00017140358
9606.ENSP00000296591	0.00017247777
9606.ENSP00000177694	0.0001800111
9606.ENSP00000364805	0.00018326484
9606.ENSP00000310110	0.00018552277
9606.ENSP00000366233	0.00018675385
9606.ENSP00000223095	0.00018755214
9606.ENSP00000359783	0.00018789308
9606.ENSP00000438483	0.00019030816
9606.ENSP00000216862	0.0001931539
9606.ENSP00000365227	0.00019410822
9606.ENSP00000421985	0.00019488971
9606.ENSP00000290363	0.00019496154
9606.ENSP00000357547	0.00019712686
9606.ENSP00000364855	0.0001986605
9606.ENSP00000272223	0.00020614716
9606.ENSP00000257527	0.0002067539
9606.ENSP00000392024	0.00022270369
9606.ENSP00000311300	0.00022339681
9606.ENSP00000364813	0.00022513108
9606.ENSP00000219207	0.00023269586
9606.ENSP00000331500	0.00023305
9606.ENSP00000364032	0.00023471218
9606.ENSP00000342156	0.00024317278
9606.ENSP00000481728	0.00024626465
9606.ENSP00000323967	0.000248773
9606.ENSP00000334198	0.00024953662
9606.ENSP00000302569	0.00025605818
9606.ENSP00000309597	0.00025933955
9606.ENSP00000356033	0.00026251285
9606.ENSP00000349541	0.00026482824
9606.ENSP00000364801	0.00026804663
9606.ENSP00000470123	0.0002752115
9606.ENSP00000382783	0.00028256315
9606.ENSP00000219235	0.00028691321
9606.ENSP00000353444	0.00029318765
9606.ENSP00000330825	0.00029621707
9606.ENSP00000354608	0.00029728102
9606.ENSP00000330393	0.00030926068
9606.ENSP00000465500	0.0003096385
9606.ENSP00000369251	0.0003122664
9606.ENSP00000398890	0.00031603797
9606.ENSP00000393392	0.00032049962
9606.ENSP00000335567	0.00034129
9606.ENSP00000238994	0.00034522364
9606.ENSP00000225941	0.0003469294
9606.ENSP00000370989	0.000347239
9606.ENSP00000274278	0.00035777874
9606.ENSP00000356832	0.0003656169
