protein	pval
9606.ENSP00000481773	4.7709996e-27
9606.ENSP00000446252	4.946104e-27
9606.ENSP00000280571	5.7293115e-27
9606.ENSP00000426786	6.581547e-27
9606.ENSP00000364000	7.608313e-27
9606.ENSP00000242208	7.60987e-27
9606.ENSP00000491327	8.625439e-27
9606.ENSP00000497102	8.9597774e-27
9606.ENSP00000357055	9.127455e-27
9606.ENSP00000368664	9.912703e-27
9606.ENSP00000401831	9.982624e-27
9606.ENSP00000499140	1.0373883e-26
9606.ENSP00000394546	1.11478295e-26
9606.ENSP00000348381	1.1808794e-26
9606.ENSP00000352798	1.282849e-26
9606.ENSP00000428924	1.4109158e-26
9606.ENSP00000426638	1.7824819e-26
9606.ENSP00000484689	2.117768e-26
9606.ENSP00000429900	2.1550791e-26
9606.ENSP00000337732	2.2729395e-26
9606.ENSP00000260386	2.3434703e-26
9606.ENSP00000312700	2.6443955e-26
9606.ENSP00000242249	2.8661847e-26
9606.ENSP00000295666	3.07563e-26
9606.ENSP00000302234	3.463718e-26
9606.ENSP00000264977	3.824944e-26
9606.ENSP00000331342	4.0064822e-26
9606.ENSP00000300056	4.0394375e-26
9606.ENSP00000294964	4.306678e-26
9606.ENSP00000266503	4.3227547e-26
9606.ENSP00000299157	4.4228673e-26
9606.ENSP00000334952	4.6045293e-26
9606.ENSP00000369299	5.2951327e-26
9606.ENSP00000286298	5.692414e-26
9606.ENSP00000331901	6.142596e-26
9606.ENSP00000419502	7.177855e-26
9606.ENSP00000296658	7.45339e-26
9606.ENSP00000357113	7.877458e-26
9606.ENSP00000414330	9.1018734e-26
9606.ENSP00000416330	9.2644114e-26
9606.ENSP00000233813	1.3541187e-25
9606.ENSP00000263038	1.9901278e-25
9606.ENSP00000410798	2.0167127e-25
9606.ENSP00000380185	2.0317233e-25
9606.ENSP00000367407	2.3577899e-25
9606.ENSP00000359795	2.571634e-25
9606.ENSP00000283296	3.037183e-25
9606.ENSP00000242465	3.214613e-25
9606.ENSP00000398632	3.260258e-25
9606.ENSP00000332979	3.7714074e-25
9606.ENSP00000330523	3.808375e-25
9606.ENSP00000382707	3.8616403e-25
9606.ENSP00000384053	4.189456e-25
9606.ENSP00000441434	4.4325813e-25
9606.ENSP00000457421	4.5431067e-25
9606.ENSP00000300113	4.6859334e-25
9606.ENSP00000446917	4.76815e-25
9606.ENSP00000241416	5.355751e-25
9606.ENSP00000359045	6.6342793e-25
9606.ENSP00000483599	7.669012e-25
9606.ENSP00000219782	7.88845e-25
9606.ENSP00000320295	8.267842e-25
9606.ENSP00000317836	1.0398011e-24
9606.ENSP00000478212	1.0647156e-24
9606.ENSP00000322229	1.1311177e-24
9606.ENSP00000430950	1.2060168e-24
9606.ENSP00000369395	1.2614287e-24
9606.ENSP00000322991	1.26332465e-24
9606.ENSP00000499211	1.2657624e-24
9606.ENSP00000046794	1.3357901e-24
9606.ENSP00000371936	1.3500775e-24
9606.ENSP00000464391	1.3590106e-24
