Ensembl	pval	protein
ENSP00000192314	1.0746e-4	9606.ENSP00000192314
ENSP00000192788	0.18223	9606.ENSP00000192788
ENSP00000193322	0.60795	9606.ENSP00000193322
ENSP00000193391	0.0016601	9606.ENSP00000193391
ENSP00000194130	0.11729	9606.ENSP00000194130
ENSP00000194152	0.22586	9606.ENSP00000194152
ENSP00000194155	0.26223	9606.ENSP00000194155
ENSP00000194214	0.16586	9606.ENSP00000194214
ENSP00000194530	0.19623	9606.ENSP00000194530
ENSP00000196061	0.044948	9606.ENSP00000196061
ENSP00000196371	0.75146	9606.ENSP00000196371
ENSP00000196489	0.05242	9606.ENSP00000196489
ENSP00000197268	0.30492	9606.ENSP00000197268
ENSP00000198536	0.34109	9606.ENSP00000198536
ENSP00000198767	0.0044978	9606.ENSP00000198767
ENSP00000198801	0.14548	9606.ENSP00000198801
ENSP00000199280	0.46869	9606.ENSP00000199280
ENSP00000199320	0.27964	9606.ENSP00000199320
ENSP00000199389	0.55566	9606.ENSP00000199389
ENSP00000199447	0.15443	9606.ENSP00000199447
ENSP00000199448	0.19184	9606.ENSP00000199448
ENSP00000199708	0.89535	9606.ENSP00000199708
ENSP00000199764	0.31289	9606.ENSP00000199764
ENSP00000199814	0.51961	9606.ENSP00000199814
ENSP00000199936	0.49896	9606.ENSP00000199936
ENSP00000200135	0.0051255	9606.ENSP00000200135
ENSP00000200181	0.12508	9606.ENSP00000200181
ENSP00000200453	0.41437	9606.ENSP00000200453
ENSP00000200457	0.47715	9606.ENSP00000200457
ENSP00000200557	0.56319	9606.ENSP00000200557
ENSP00000200652	3.0032e-13	9606.ENSP00000200652
ENSP00000200676	0.30729	9606.ENSP00000200676
ENSP00000200691	0.35396	9606.ENSP00000200691
ENSP00000201031	0.4952	9606.ENSP00000201031
ENSP00000201586	0.88646	9606.ENSP00000201586
ENSP00000201647	0.45132	9606.ENSP00000201647
ENSP00000201979	0.34178	9606.ENSP00000201979
ENSP00000202017	0.88344	9606.ENSP00000202017
ENSP00000202556	0.27462	9606.ENSP00000202556
ENSP00000202625	0.080049	9606.ENSP00000202625
ENSP00000202677	0.20794	9606.ENSP00000202677
ENSP00000202816	0.59866	9606.ENSP00000202816
ENSP00000202967	0.75287	9606.ENSP00000202967
ENSP00000203001	0.71394	9606.ENSP00000203001
ENSP00000203407	0.10059	9606.ENSP00000203407
ENSP00000203556	0.30323	9606.ENSP00000203556
ENSP00000203629	0.51796	9606.ENSP00000203629
ENSP00000203630	0.39368	9606.ENSP00000203630
ENSP00000203664	0.092544	9606.ENSP00000203664
ENSP00000204517	0.48648	9606.ENSP00000204517
ENSP00000204549	0.15763	9606.ENSP00000204549
ENSP00000204566	0.32765	9606.ENSP00000204566
ENSP00000204604	0.7375	9606.ENSP00000204604
ENSP00000204679	0.32512	9606.ENSP00000204679
ENSP00000204726	0.29017	9606.ENSP00000204726
ENSP00000205061	9.3394e-4	9606.ENSP00000205061
ENSP00000205143	0.67125	9606.ENSP00000205143
ENSP00000205194	0.19932	9606.ENSP00000205194
ENSP00000205214	0.013504	9606.ENSP00000205214
ENSP00000205402	0.76661	9606.ENSP00000205402
ENSP00000205557	0.51658	9606.ENSP00000205557
ENSP00000205636	0.44987	9606.ENSP00000205636
ENSP00000205948	0.60694	9606.ENSP00000205948
ENSP00000206020	0.44641	9606.ENSP00000206020
ENSP00000206262	0.37893	9606.ENSP00000206262
ENSP00000206423	2.0121e-8	9606.ENSP00000206423
ENSP00000206474	0.0098572	9606.ENSP00000206474
ENSP00000206513	0.56035	9606.ENSP00000206513
ENSP00000206542	0.080394	9606.ENSP00000206542
ENSP00000206595	0.49292	9606.ENSP00000206595
ENSP00000206765	0.36056	9606.ENSP00000206765
ENSP00000207457	0.70251	9606.ENSP00000207457
ENSP00000207549	0.29523	9606.ENSP00000207549
ENSP00000207870	0.60146	9606.ENSP00000207870
ENSP00000209668	0.73768	9606.ENSP00000209668
ENSP00000209718	0.3742	9606.ENSP00000209718
ENSP00000209728	0.46074	9606.ENSP00000209728
ENSP00000209873	0.092	9606.ENSP00000209873
ENSP00000209875	0.3451	9606.ENSP00000209875
ENSP00000209884	0.018328	9606.ENSP00000209884
ENSP00000209929	0.33044	9606.ENSP00000209929
ENSP00000210060	0.82113	9606.ENSP00000210060
ENSP00000210187	0.40635	9606.ENSP00000210187
ENSP00000210313	0.0029705	9606.ENSP00000210313
ENSP00000210444	0.014417	9606.ENSP00000210444
ENSP00000210633	0.3248	9606.ENSP00000210633
ENSP00000211076	0.60685	9606.ENSP00000211076
ENSP00000211122	0.82895	9606.ENSP00000211122
ENSP00000211287	0.64099	9606.ENSP00000211287
ENSP00000211314	0.2683	9606.ENSP00000211314
ENSP00000211413	8.0786e-9	9606.ENSP00000211413
ENSP00000211936	0.15424	9606.ENSP00000211936
ENSP00000211998	0.13636	9606.ENSP00000211998
ENSP00000212015	0.15939	9606.ENSP00000212015
ENSP00000212355	0.19835	9606.ENSP00000212355
ENSP00000214869	0.36312	9606.ENSP00000214869
ENSP00000215057	0.42652	9606.ENSP00000215057
ENSP00000215061	0.15318	9606.ENSP00000215061
ENSP00000215071	0.30189	9606.ENSP00000215071
ENSP00000215095	0.071525	9606.ENSP00000215095
ENSP00000215368	0.87551	9606.ENSP00000215368
ENSP00000215375	0.40907	9606.ENSP00000215375
ENSP00000215530	0.54936	9606.ENSP00000215530
ENSP00000215531	0.50524	9606.ENSP00000215531
ENSP00000215565	0.35033	9606.ENSP00000215565
ENSP00000215567	0.86922	9606.ENSP00000215567
ENSP00000215570	0.34525	9606.ENSP00000215570
ENSP00000215574	0.25895	9606.ENSP00000215574
ENSP00000215582	0.63162	9606.ENSP00000215582
ENSP00000215631	0.15146	9606.ENSP00000215631
ENSP00000215637	0.18497	9606.ENSP00000215637
ENSP00000215659	0.54018	9606.ENSP00000215659
ENSP00000215727	0.79881	9606.ENSP00000215727
ENSP00000215730	0.69795	9606.ENSP00000215730
ENSP00000215742	0.67223	9606.ENSP00000215742
ENSP00000215743	0.75802	9606.ENSP00000215743
ENSP00000215754	0.1204	9606.ENSP00000215754
ENSP00000215770	0.062333	9606.ENSP00000215770
ENSP00000215781	0.44133	9606.ENSP00000215781
ENSP00000215793	0.02995	9606.ENSP00000215793
ENSP00000215794	0.48938	9606.ENSP00000215794
ENSP00000215812	0.91485	9606.ENSP00000215812
ENSP00000215829	0.025264000000000002	9606.ENSP00000215829
ENSP00000215832	0.37034	9606.ENSP00000215832
ENSP00000215838	0.71288	9606.ENSP00000215838
ENSP00000215855	0.29502	9606.ENSP00000215855
ENSP00000215882	0.73949	9606.ENSP00000215882
ENSP00000215885	0.044787	9606.ENSP00000215885
ENSP00000215886	0.80739	9606.ENSP00000215886
ENSP00000215904	0.93301	9606.ENSP00000215904
ENSP00000215906	0.09339	9606.ENSP00000215906
ENSP00000215909	0.53532	9606.ENSP00000215909
ENSP00000215912	0.087486	9606.ENSP00000215912
ENSP00000215917	0.60957	9606.ENSP00000215917
ENSP00000215941	0.87756	9606.ENSP00000215941
ENSP00000215957	0.17447	9606.ENSP00000215957
ENSP00000215980	0.21087	9606.ENSP00000215980
ENSP00000216024	0.80679	9606.ENSP00000216024
ENSP00000216027	0.38203	9606.ENSP00000216027
ENSP00000216034	0.32088	9606.ENSP00000216034
ENSP00000216036	0.28101	9606.ENSP00000216036
ENSP00000216037	0.51456	9606.ENSP00000216037
ENSP00000216038	0.68847	9606.ENSP00000216038
ENSP00000216039	0.75294	9606.ENSP00000216039
ENSP00000216044	0.52728	9606.ENSP00000216044
ENSP00000216068	0.19651	9606.ENSP00000216068
ENSP00000216071	0.8561	9606.ENSP00000216071
ENSP00000216075	0.4494	9606.ENSP00000216075
ENSP00000216085	0.04852	9606.ENSP00000216085
ENSP00000216101	0.45732	9606.ENSP00000216101
ENSP00000216106	0.0050792	9606.ENSP00000216106
ENSP00000216115	0.01072	9606.ENSP00000216115
ENSP00000216117	0.1081	9606.ENSP00000216117
ENSP00000216121	0.25917	9606.ENSP00000216121
ENSP00000216122	0.0087601	9606.ENSP00000216122
ENSP00000216124	0.6898	9606.ENSP00000216124
ENSP00000216127	0.73604	9606.ENSP00000216127
ENSP00000216129	0.1376	9606.ENSP00000216129
ENSP00000216133	0.82534	9606.ENSP00000216133
ENSP00000216139	0.68536	9606.ENSP00000216139
ENSP00000216144	0.18673	9606.ENSP00000216144
ENSP00000216160	0.97376	9606.ENSP00000216160
ENSP00000216177	0.29117	9606.ENSP00000216177
ENSP00000216180	0.42331	9606.ENSP00000216180
ENSP00000216181	0.91341	9606.ENSP00000216181
ENSP00000216185	0.60015	9606.ENSP00000216185
ENSP00000216190	0.21695	9606.ENSP00000216190
ENSP00000216200	0.36463	9606.ENSP00000216200
ENSP00000216211	0.56941	9606.ENSP00000216211
ENSP00000216214	0.058276	9606.ENSP00000216214
ENSP00000216218	0.12155	9606.ENSP00000216218
ENSP00000216223	0.077914	9606.ENSP00000216223
ENSP00000216225	0.0060855	9606.ENSP00000216225
ENSP00000216237	0.080221	9606.ENSP00000216237
ENSP00000216241	0.10674	9606.ENSP00000216241
ENSP00000216252	0.0066354	9606.ENSP00000216252
ENSP00000216254	0.0041176	9606.ENSP00000216254
ENSP00000216259	0.086059	9606.ENSP00000216259
ENSP00000216264	0.19954	9606.ENSP00000216264
ENSP00000216268	0.69327	9606.ENSP00000216268
ENSP00000216271	0.81806	9606.ENSP00000216271
ENSP00000216274	0.54125	9606.ENSP00000216274
ENSP00000216277	0.21011	9606.ENSP00000216277
ENSP00000216286	0.24625	9606.ENSP00000216286
ENSP00000216294	0.36315	9606.ENSP00000216294
ENSP00000216297	0.063311	9606.ENSP00000216297
ENSP00000216330	0.55407	9606.ENSP00000216330
ENSP00000216336	0.30534	9606.ENSP00000216336
ENSP00000216338	0.71644	9606.ENSP00000216338
ENSP00000216341	0.33568	9606.ENSP00000216341
ENSP00000216361	0.66578	9606.ENSP00000216361
ENSP00000216366	0.82572	9606.ENSP00000216366
ENSP00000216367	0.78852	9606.ENSP00000216367
ENSP00000216373	0.079668	9606.ENSP00000216373
ENSP00000216392	0.64385	9606.ENSP00000216392
ENSP00000216410	0.44786	9606.ENSP00000216410
ENSP00000216416	0.18935	9606.ENSP00000216416
ENSP00000216420	0.94125	9606.ENSP00000216420
ENSP00000216442	0.049065	9606.ENSP00000216442
ENSP00000216446	0.013642	9606.ENSP00000216446
ENSP00000216452	0.2164	9606.ENSP00000216452
ENSP00000216455	0.13547	9606.ENSP00000216455
ENSP00000216468	0.36752	9606.ENSP00000216468
ENSP00000216471	0.26638	9606.ENSP00000216471
ENSP00000216479	0.2507	9606.ENSP00000216479
ENSP00000216484	0.52077	9606.ENSP00000216484
ENSP00000216487	0.73119	9606.ENSP00000216487
ENSP00000216489	0.67349	9606.ENSP00000216489
ENSP00000216492	0.75351	9606.ENSP00000216492
ENSP00000216500	0.37993	9606.ENSP00000216500
ENSP00000216513	0.4874	9606.ENSP00000216513
ENSP00000216540	0.67801	9606.ENSP00000216540
ENSP00000216554	0.57156	9606.ENSP00000216554
ENSP00000216602	0.44325	9606.ENSP00000216602
ENSP00000216629	0.53789	9606.ENSP00000216629
ENSP00000216639	0.26413	9606.ENSP00000216639
ENSP00000216714	0.075285	9606.ENSP00000216714
ENSP00000216727	0.0092038	9606.ENSP00000216727
ENSP00000216733	0.01981	9606.ENSP00000216733
ENSP00000216756	0.6005	9606.ENSP00000216756
ENSP00000216780	0.61734	9606.ENSP00000216780
ENSP00000216797	0.071487	9606.ENSP00000216797
ENSP00000216802	0.31588	9606.ENSP00000216802
ENSP00000216807	0.14261	9606.ENSP00000216807
ENSP00000216832	0.069405	9606.ENSP00000216832
ENSP00000216862	6.3654e-8	9606.ENSP00000216862
ENSP00000216911	0.25033	9606.ENSP00000216911
ENSP00000216923	0.0013563	9606.ENSP00000216923
ENSP00000216962	0.2249	9606.ENSP00000216962
ENSP00000216968	0.72359	9606.ENSP00000216968
ENSP00000217026	0.53227	9606.ENSP00000217026
ENSP00000217043	0.81785	9606.ENSP00000217043
ENSP00000217086	0.63047	9606.ENSP00000217086
ENSP00000217109	0.19523	9606.ENSP00000217109
ENSP00000217121	1.2129e-6	9606.ENSP00000217121
ENSP00000217131	0.4485	9606.ENSP00000217131
ENSP00000217133	0.15055	9606.ENSP00000217133
ENSP00000217159	0.56074	9606.ENSP00000217159
ENSP00000217169	0.022767	9606.ENSP00000217169
ENSP00000217173	0.32438	9606.ENSP00000217173
ENSP00000217182	0.034212	9606.ENSP00000217182
ENSP00000217188	0.19602	9606.ENSP00000217188
ENSP00000217195	0.15946	9606.ENSP00000217195
ENSP00000217244	0.38888	9606.ENSP00000217244
ENSP00000217246	0.082472	9606.ENSP00000217246
ENSP00000217260	0.69132	9606.ENSP00000217260
ENSP00000217270	0.16601	9606.ENSP00000217270
ENSP00000217289	0.30638	9606.ENSP00000217289
ENSP00000217320	0.4962	9606.ENSP00000217320
ENSP00000217372	0.046797	9606.ENSP00000217372
ENSP00000217381	0.0032407	9606.ENSP00000217381
ENSP00000217386	0.34046	9606.ENSP00000217386
ENSP00000217402	0.15281	9606.ENSP00000217402
ENSP00000217407	0.57025	9606.ENSP00000217407
ENSP00000217420	0.98486	9606.ENSP00000217420
ENSP00000217423	0.96737	9606.ENSP00000217423
ENSP00000217426	0.18924	9606.ENSP00000217426
ENSP00000217428	0.17646	9606.ENSP00000217428
ENSP00000217446	0.62195	9606.ENSP00000217446
ENSP00000217455	0.74535	9606.ENSP00000217455
ENSP00000217456	0.86255	9606.ENSP00000217456
ENSP00000217515	0.040382	9606.ENSP00000217515
ENSP00000217740	0.14708	9606.ENSP00000217740
ENSP00000218548	0.031218	9606.ENSP00000218548
ENSP00000218721	0.77282	9606.ENSP00000218721
ENSP00000218758	0.20412	9606.ENSP00000218758
ENSP00000218867	0.18124	9606.ENSP00000218867
ENSP00000219022	0.31716	9606.ENSP00000219022
ENSP00000219066	0.1887	9606.ENSP00000219066
ENSP00000219069	0.84993	9606.ENSP00000219069
ENSP00000219070	0.11113	9606.ENSP00000219070
ENSP00000219097	0.34204	9606.ENSP00000219097
ENSP00000219139	0.008432	9606.ENSP00000219139
ENSP00000219150	0.21027	9606.ENSP00000219150
ENSP00000219162	0.17321	9606.ENSP00000219162
ENSP00000219169	0.66228	9606.ENSP00000219169
ENSP00000219197	0.81812	9606.ENSP00000219197
ENSP00000219204	0.42882	9606.ENSP00000219204
ENSP00000219207	0.16438	9606.ENSP00000219207
ENSP00000219235	5.7399e-4	9606.ENSP00000219235
ENSP00000219240	0.53866	9606.ENSP00000219240
ENSP00000219244	0.052388	9606.ENSP00000219244
ENSP00000219252	0.035415	9606.ENSP00000219252
ENSP00000219255	0.17715	9606.ENSP00000219255
ENSP00000219271	0.44953	9606.ENSP00000219271
ENSP00000219281	0.070282	9606.ENSP00000219281
ENSP00000219299	0.21073	9606.ENSP00000219299
ENSP00000219301	0.19971	9606.ENSP00000219301
ENSP00000219302	0.39992	9606.ENSP00000219302
ENSP00000219313	0.26563	9606.ENSP00000219313
ENSP00000219315	0.48067	9606.ENSP00000219315
ENSP00000219334	0.63446	9606.ENSP00000219334
ENSP00000219345	0.66401	9606.ENSP00000219345
ENSP00000219368	0.093862	9606.ENSP00000219368
ENSP00000219400	0.57893	9606.ENSP00000219400
ENSP00000219406	0.42702	9606.ENSP00000219406
ENSP00000219409	0.41419	9606.ENSP00000219409
ENSP00000219431	0.10855	9606.ENSP00000219431
ENSP00000219439	0.50625	9606.ENSP00000219439
ENSP00000219476	0.37601	9606.ENSP00000219476
ENSP00000219478	0.033192	9606.ENSP00000219478
ENSP00000219479	0.49438	9606.ENSP00000219479
ENSP00000219481	0.59546	9606.ENSP00000219481
ENSP00000219548	0.091993	9606.ENSP00000219548
ENSP00000219551	0.10212	9606.ENSP00000219551
ENSP00000219596	0.22872	9606.ENSP00000219596
ENSP00000219599	0.788	9606.ENSP00000219599
ENSP00000219611	0.61269	9606.ENSP00000219611
ENSP00000219660	0.34168	9606.ENSP00000219660
ENSP00000219689	0.53842	9606.ENSP00000219689
ENSP00000219746	0.13066	9606.ENSP00000219746
ENSP00000219782	0.41407	9606.ENSP00000219782
ENSP00000219789	0.79635	9606.ENSP00000219789
ENSP00000219833	0.33791	9606.ENSP00000219833
ENSP00000219837	0.33891	9606.ENSP00000219837
ENSP00000219905	0.37706	9606.ENSP00000219905
ENSP00000219919	0.68726	9606.ENSP00000219919
ENSP00000220003	0.34629	9606.ENSP00000220003
ENSP00000220058	0.3893	9606.ENSP00000220058
ENSP00000220062	0.46273	9606.ENSP00000220062
ENSP00000220166	0.29047	9606.ENSP00000220166
ENSP00000220325	0.50553	9606.ENSP00000220325
ENSP00000220420	0.75721	9606.ENSP00000220420
ENSP00000220429	0.34861	9606.ENSP00000220429
ENSP00000220478	0.084611	9606.ENSP00000220478
ENSP00000220496	0.18348	9606.ENSP00000220496
ENSP00000220507	0.35572	9606.ENSP00000220507
ENSP00000220509	0.0054201	9606.ENSP00000220509
ENSP00000220514	0.036709	9606.ENSP00000220514
ENSP00000220562	0.40507	9606.ENSP00000220562
ENSP00000220592	1.0036e-9	9606.ENSP00000220592
ENSP00000220597	0.23875	9606.ENSP00000220597
ENSP00000220616	0.087329	9606.ENSP00000220616
ENSP00000220659	0.083981	9606.ENSP00000220659
ENSP00000220669	0.94605	9606.ENSP00000220669
ENSP00000220676	0.35931	9606.ENSP00000220676
ENSP00000220751	0.0060249	9606.ENSP00000220751
ENSP00000220763	0.389	9606.ENSP00000220763
ENSP00000220764	0.87886	9606.ENSP00000220764
ENSP00000220772	0.57771	9606.ENSP00000220772
ENSP00000220809	0.74534	9606.ENSP00000220809
ENSP00000220812	0.10012	9606.ENSP00000220812
ENSP00000220822	0.070813	9606.ENSP00000220822
ENSP00000220849	0.56896	9606.ENSP00000220849
ENSP00000220853	0.37696	9606.ENSP00000220853
ENSP00000220913	0.19961	9606.ENSP00000220913
